,ETER ID,English Institution Name,Reference year,Total academic personnel (FTE),Total academic personnel (HC),Total students enrolled ISCED 5-7,Total graduates ISCED 5-7,Total students enrolled at ISCED 8,Total graduates at ISCED 8,scopus_authors,number_articles,total_eter,state
86,IT0006,University of Sannio,2018,0,268,4633,902,111,38,712.0,2414.0,5684,Benevento
87,IT0008,University of Bergamo,2018,0,657,19724,3760,207,49,749.0,2146.0,23740,Bergamo
88,IT0009,University of Bologna,2018,0,3659,83120,19997,1451,416,29098.0,95221.0,104984,Bologna
89,IT0010,Free University of Bozen-Bolzano,2018,0,479,3821,703,177,33,590.0,1322.0,4734,Bolzano
90,IT0012,University of Brescia,2018,0,991,14795,2687,207,51,7115.0,20130.0,17740,Brescia
91,IT0013,University of Cagliari,2018,0,1128,25642,4290,356,103,8578.0,28640.0,30391,Cagliari
92,IT0014,University of Camerino,2018,0,470,7369,1141,162,54,2653.0,9569.0,8726,Macerata
93,IT0015,University of Molise,2018,0,443,7233,1447,103,31,1084.0,3352.0,8814,Campobasso
94,IT0017,University of Cassino and Southern Lazio,2018,0,502,7405,1561,106,47,753.0,2549.0,9119,Frosinone
95,IT0019,University of Catania,2018,0,1744,40784,6623,432,92,12934.0,41529.0,47931,Catania
96,IT0020,"University ""Magna Graecia""",2018,0,415,11472,1767,127,36,1946.0,4895.0,13402,Catanzaro
97,IT0022,Kore University of Enna (UKE),2018,0,161,4842,1269,73,6,200.0,448.0,6190,Enna
98,IT0023,University of Ferrara,2018,0,962,21323,3511,340,117,8693.0,28001.0,25291,Vicenza
99,IT0025,University of Florence,2018,0,2055,54324,10300,904,274,20817.0,69020.0,65802,Florence
100,IT0027,University of Foggia,2018,0,401,10767,1693,79,18,1883.0,5302.0,12557,Foggia
101,IT0028,University of Genoa,2018,0,2014,31739,6691,1041,292,19631.0,58588.0,39763,Genova
102,IT0029,University of L'Aquila,2018,0,864,16608,3423,218,68,5274.0,14858.0,20317,L'Aquila
103,IT0030,University of Salento,2018,0,722,17243,3344,254,78,2935.0,9300.0,20919,Lecce
104,IT0032,University of Macerata,2018,0,501,10507,2119,120,37,339.0,733.0,12783,Macerata
105,IT0033,University of Messina,2018,0,1137,23561,4371,296,85,8657.0,29345.0,28313,Messina
106,IT0035,Politecnico di Milano,2018,0,2396,47093,12113,1186,316,10823.0,31805.0,60708,Milano
107,IT0036,Università Cattolica del Sacro Cuore,2018,0,3819,44137,12689,510,157,9777.0,30902.0,57493,Roma
108,IT0038,University of Milan,2018,0,2970,62181,12537,915,366,45213.0,126753.0,75999,Milano
109,IT0039,Vita-Salute San Raffaele University,2018,0,347,3464,726,138,24,2658.0,6192.0,4352,Milano
110,IT0040,University of Milano-Bicocca,2018,0,1177,34435,8048,532,159,6905.0,18435.0,43174,Milano
111,IT0041,Online University San Raffaele Rome,2018,0,131,5469,587,0,0,26.0,42.0,6056,Roma
112,IT0042,University of Modena and Reggio Emilia (UNIMORE),2018,0,1005,26343,5427,388,111,9581.0,29751.0,32269,Modena
113,IT0043,Suor Orsola Benincasa University,2018,0,303,8837,2146,41,20,40.0,64.0,11044,Napoli
114,IT0044,University of Campania Luigi Vanvitelli,2018,0,1117,25385,4869,465,107,7175.0,20381.0,30826,Napoli
115,IT0045,University of Naples Federico II,2018,0,3039,77519,14401,1001,268,17485.0,50319.0,93189,Napoli
116,IT0050,University of Padova,2018,0,3511,62017,14237,1322,451,30616.0,95733.0,78027,Padua
117,IT0051,University of Palermo,2018,0,1807,40794,7667,455,138,14363.0,42525.0,49054,Palermo
118,IT0052,University of Parma,2018,0,1126,27002,5196,430,130,12471.0,36919.0,32758,Parma
119,IT0053,Institute for Advanced Study - IUSS of Pavia,2018,0,48,19,48,64,13,186.0,332.0,144,Pavia
120,IT0054,University of Pavia,2018,0,1551,24948,5419,507,155,16172.0,48712.0,31029,Pavia
121,IT0055,University of Perugia,2018,0,1273,24170,4525,384,131,11272.0,37322.0,29210,Perugia
